Customer_subtype,Number_of_houses,Avg_size_household,Avg_age,Customer_main_type,Avg_Salary,label
Lower class large families,1,2,40-50 years,Family with grown ups,12943,0
Lower class large families,1,3,40-50 years,Family with grown ups,35761,0
Village families,1,2,50-60 years,Family with grown ups,43842,0
Middle class families,1,4,40-50 years,Driven Growers,46022,0
"Young, low educated",1,2,30-40 years,Living well,41443,0
Seniors in apartments,2,2,60-70 years,Cruising Seniors,28576,0
Own home elderly,1,1,70-80 years,Cruising Seniors,41473,0
Mixed seniors,1,2,40-50 years,Retired and Religious,29653,1
Affluent senior apartments,1,2,40-50 years,Successful hedonists,682974,0
Middle class families,1,4,30-40 years,Driven Growers,44526,0
Lower class large families,1,3,40-50 years,Family with grown ups,43611,0
"Young, low educated",1,2,40-50 years,Living well,39237,0
"Modern, complete families",1,3,30-40 years,Average Family,12074,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,45401,0
Lower class large families,1,3,50-60 years,Family with grown ups,9226,0
High status seniors,1,1,60-70 years,Successful hedonists,40403612,0
Lower class large families,1,2,50-60 years,Family with grown ups,15783,0
Large family farms,1,3,50-60 years,Farmers,35711,0
Career and childcare,1,3,40-50 years,Driven Growers,10675,0
Seniors in apartments,2,2,60-70 years,Cruising Seniors,35243,0
Middle class families,1,3,40-50 years,Driven Growers,28977,0
"Young, low educated",1,3,40-50 years,Living well,25605,0
"Young, low educated",1,3,30-40 years,Living well,14646,0
Middle class families,1,4,40-50 years,Driven Growers,47799,0
Family starters,1,2,40-50 years,Average Family,26756,0
Mixed seniors,1,2,40-50 years,Successful hedonists,24969,0
Lower class large families,1,3,40-50 years,Family with grown ups,14236,0
"Young, low educated",1,4,30-40 years,Living well,48295,0
Lower class large families,1,3,40-50 years,Family with grown ups,48609,0
Lower class large families,1,3,40-50 years,Family with grown ups,35009,0
Lower class large families,1,4,40-50 years,Family with grown ups,34887,0
Affluent young families,1,3,30-40 years,Average Family,903291,1
Large religious families,1,2,30-40 years,Conservative families,23089,0
Traditional families,1,3,30-40 years,Conservative families,34698,0
Couples with teens 'Married with children',1,3,50-60 years,Family with grown ups,33051,0
Lower class large families,1,2,40-50 years,Family with grown ups,20131,0
Large family farms,1,3,30-40 years,Farmers,49698,0
Middle class families,1,3,40-50 years,Driven Growers,46994,1
High status seniors,1,2,50-60 years,Successful hedonists,23248994,0
Lower class large families,1,3,40-50 years,Family with grown ups,5578,0
Mixed seniors,1,3,40-50 years,Retired and Religious,44694,0
Young all american family,1,3,40-50 years,Average Family,40058,0
Large religious families,1,3,40-50 years,Conservative families,11649,0
Lower class large families,1,3,30-40 years,Family with grown ups,3107,0
Couples with teens 'Married with children',1,1,40-50 years,Family with grown ups,18912,0
Young and rising,1,1,40-50 years,Living well,49816,0
Village families,1,2,50-60 years,Family with grown ups,23990,0
Large religious families,1,3,30-40 years,Conservative families,24005,0
Young seniors in the city,2,1,50-60 years,Cruising Seniors,44496,0
Family starters,1,3,40-50 years,Average Family,21998,0
Mixed apartment dwellers,1,3,30-40 years,Living well,24531,0
Village families,1,2,50-60 years,Family with grown ups,16497,0
Large religious families,1,4,40-50 years,Conservative families,19928,0
Career and childcare,1,3,40-50 years,Driven Growers,34412,0
Low income catholics,1,2,40-50 years,Retired and Religious,39823,0
Traditional families,1,3,40-50 years,Conservative families,37788,0
Low income catholics,1,2,30-40 years,Retired and Religious,18404,0
Mixed seniors,1,2,40-50 years,Retired and Religious,28412,0
Mixed seniors,1,3,40-50 years,Successful hedonists,21936,0
"Young, low educated",1,2,30-40 years,Living well,14061,0
Large religious families,1,3,40-50 years,Conservative families,42488,0
High status seniors,1,2,50-60 years,Successful hedonists,28944502,0
Lower class large families,1,2,40-50 years,Family with grown ups,34823,0
Mixed apartment dwellers,1,2,50-60 years,Living well,32880,0
"Large family, employed child",2,3,30-40 years,Family with grown ups,39704,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,26311389,0
Career and childcare,1,3,30-40 years,Driven Growers,40541,0
Village families,1,3,50-60 years,Family with grown ups,40820,0
Lower class large families,1,3,30-40 years,Family with grown ups,7350,0
Mixed rurals,1,2,40-50 years,Farmers,15960,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,39896,0
Young seniors in the city,1,1,60-70 years,Cruising Seniors,44478,0
Traditional families,1,3,50-60 years,Conservative families,31195,0
Large religious families,1,4,40-50 years,Conservative families,20275,0
Lower class large families,1,4,30-40 years,Family with grown ups,19471,0
Young seniors in the city,1,2,40-50 years,Cruising Seniors,28506,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,28305560,0
Large religious families,1,2,40-50 years,Conservative families,36669,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,24771,0
High status seniors,1,1,30-40 years,Successful hedonists,17462103,1
Lower class large families,1,3,40-50 years,Family with grown ups,40506,0
Traditional families,1,4,30-40 years,Conservative families,37549,0
Lower class large families,1,3,40-50 years,Family with grown ups,5243,0
Mixed rurals,1,3,30-40 years,Farmers,45980,0
Young and rising,1,1,30-40 years,Living well,13903,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,43194,0
Very Important Provincials,1,2,40-50 years,Successful hedonists,16427,0
Middle class families,1,3,40-50 years,Driven Growers,22236,1
Young and rising,1,2,30-40 years,Living well,16347,0
Young and rising,1,2,30-40 years,Living well,37742,0
"Modern, complete families",1,2,50-60 years,Average Family,28110,0
"Young, low educated",1,2,30-40 years,Living well,38196,0
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,33678,0
High status seniors,1,3,40-50 years,Successful hedonists,46614009,0
Lower class large families,2,2,40-50 years,Family with grown ups,37788,0
Lower class large families,1,3,30-40 years,Family with grown ups,34055,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,11258,0
"Large family, employed child",1,2,40-50 years,Family with grown ups,32342,0
Traditional families,1,2,30-40 years,Conservative families,39493,0
"Young, low educated",1,2,30-40 years,Living well,44218,0
Young and rising,1,1,50-60 years,Living well,16042,0
"High Income, expensive child",1,4,40-50 years,Successful hedonists,4247977,0
"Modern, complete families",1,3,40-50 years,Average Family,18797,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,6818684,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,28314,0
Lower class large families,1,2,40-50 years,Family with grown ups,20848,0
Own home elderly,1,1,60-70 years,Cruising Seniors,49526,0
Mixed seniors,1,2,50-60 years,Successful hedonists,14914,0
"High Income, expensive child",1,5,40-50 years,Successful hedonists,18657560,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,41523,0
High status seniors,1,1,50-60 years,Successful hedonists,20390169,0
Students in apartments,2,1,20-30 years,Career Loners,18911,0
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,19738,0
Traditional families,1,2,40-50 years,Conservative families,36449,0
Large religious families,1,2,30-40 years,Conservative families,46480,0
Traditional families,1,3,40-50 years,Conservative families,29519,0
Couples with teens 'Married with children',1,2,60-70 years,Family with grown ups,40703,0
Mixed seniors,1,3,40-50 years,Retired and Religious,12605,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,29963,0
Traditional families,1,2,30-40 years,Conservative families,42993,0
Low income catholics,1,2,50-60 years,Retired and Religious,37481,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,4995308,0
Young all american family,1,2,30-40 years,Average Family,27089,0
"Large family, employed child",2,3,30-40 years,Family with grown ups,28248,0
Stable family,1,4,40-50 years,Average Family,32159,0
Lower class large families,1,3,30-40 years,Family with grown ups,38950,0
Traditional families,1,3,40-50 years,Conservative families,35382,0
Stable family,1,3,40-50 years,Average Family,20401,0
Large family farms,1,5,40-50 years,Farmers,18821,0
Mixed rurals,1,4,40-50 years,Farmers,10469,0
Village families,1,3,50-60 years,Family with grown ups,20465,0
"Young, low educated",2,2,30-40 years,Living well,40157,0
Middle class families,1,3,30-40 years,Driven Growers,25492,0
Traditional families,1,3,40-50 years,Conservative families,23212,0
Lower class large families,1,3,40-50 years,Family with grown ups,23665,0
Stable family,1,3,30-40 years,Average Family,10739,0
Large religious families,1,3,40-50 years,Conservative families,21813,0
Couples with teens 'Married with children',1,3,50-60 years,Family with grown ups,45126,0
"Large family, employed child",1,3,30-40 years,Family with grown ups,38698,0
Affluent young families,1,4,30-40 years,Average Family,817133,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,24484,0
Large religious families,1,3,40-50 years,Conservative families,32631,0
Mixed rurals,1,3,40-50 years,Farmers,13385,0
Traditional families,1,3,40-50 years,Conservative families,30231,0
Traditional families,1,3,40-50 years,Conservative families,37480,0
Large religious families,2,5,30-40 years,Conservative families,26224,0
High status seniors,1,3,50-60 years,Successful hedonists,9032071,0
Large religious families,1,2,30-40 years,Conservative families,16235,1
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,25139,0
Mixed seniors,1,2,50-60 years,Retired and Religious,24754,0
Mixed rurals,1,3,40-50 years,Farmers,12068,0
"Modern, complete families",1,2,30-40 years,Average Family,25554,0
Lower class large families,1,3,40-50 years,Family with grown ups,31601,0
Lower class large families,1,3,40-50 years,Family with grown ups,42184,1
Low income catholics,1,3,40-50 years,Retired and Religious,9646,0
Low income catholics,1,4,30-40 years,Retired and Religious,5407,0
"Large family, employed child",1,4,40-50 years,Family with grown ups,48390,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,42941,0
Large religious families,1,3,40-50 years,Conservative families,41823,0
"Modern, complete families",1,2,40-50 years,Average Family,16637,0
Lower class large families,1,2,40-50 years,Family with grown ups,1502,0
High status seniors,1,2,60-70 years,Successful hedonists,48919896,0
Own home elderly,1,1,70-80 years,Cruising Seniors,47001,0
"Modern, complete families",1,4,40-50 years,Average Family,25932,0
Affluent young families,1,3,30-40 years,Average Family,964596,0
Young all american family,1,3,40-50 years,Average Family,27337,0
Mixed apartment dwellers,1,2,30-40 years,Living well,27887,0
Stable family,1,3,30-40 years,Average Family,27697,0
Couples with teens 'Married with children',1,2,40-50 years,Family with grown ups,20504,0
Mixed apartment dwellers,2,3,40-50 years,Living well,22388,0
Low income catholics,1,2,50-60 years,Retired and Religious,25120,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,31322,0
Young all american family,1,3,40-50 years,Average Family,48433,0
"Modern, complete families",1,3,40-50 years,Average Family,33191,0
Large family farms,1,3,30-40 years,Farmers,27443,0
Career and childcare,2,3,30-40 years,Driven Growers,30687,0
Lower class large families,1,3,40-50 years,Family with grown ups,31453,0
High status seniors,1,3,50-60 years,Successful hedonists,25753112,0
"Young, low educated",1,2,40-50 years,Living well,42280,0
Lower class large families,1,3,40-50 years,Family with grown ups,18412,0
Mixed seniors,1,3,50-60 years,Retired and Religious,16690,0
Lower class large families,1,3,40-50 years,Family with grown ups,11432,0
Residential elderly,1,2,60-70 years,Cruising Seniors,33391,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,30085,0
Large religious families,1,3,40-50 years,Conservative families,35096,0
Lower class large families,1,2,50-60 years,Family with grown ups,41192,0
Lower class large families,1,3,50-60 years,Family with grown ups,44241,0
"Young, low educated",1,2,50-60 years,Living well,37204,0
Middle class families,1,3,40-50 years,Driven Growers,33652,1
Traditional families,1,2,40-50 years,Conservative families,45067,0
Dinki's (double income no kids),1,2,60-70 years,Driven Growers,35124,0
Traditional families,1,3,40-50 years,Conservative families,18997,0
Residential elderly,1,2,50-60 years,Cruising Seniors,37676,0
Middle class families,2,3,40-50 years,Driven Growers,46918,0
"High Income, expensive child",1,4,30-40 years,Successful hedonists,26217851,0
Low income catholics,1,3,40-50 years,Retired and Religious,49360,0
Traditional families,1,2,30-40 years,Conservative families,34345,1
"Young, low educated",1,2,30-40 years,Living well,23768,1
"High Income, expensive child",1,2,50-60 years,Successful hedonists,24595825,0
Lower class large families,2,3,40-50 years,Family with grown ups,22521,0
Career and childcare,2,4,30-40 years,Driven Growers,43546,0
High status seniors,1,2,40-50 years,Successful hedonists,21501934,0
Family starters,1,2,40-50 years,Average Family,33655,0
Lower class large families,1,3,40-50 years,Family with grown ups,30132,0
Couples with teens 'Married with children',1,1,40-50 years,Family with grown ups,11959,0
Middle class families,1,3,40-50 years,Driven Growers,37883,0
Seniors in apartments,1,2,40-50 years,Cruising Seniors,20500,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,18000870,0
Large religious families,1,2,50-60 years,Conservative families,11666,0
Affluent young families,1,3,40-50 years,Average Family,872891,0
Low income catholics,1,3,40-50 years,Retired and Religious,27579,0
Middle class families,1,3,40-50 years,Driven Growers,42987,1
Mixed rurals,1,3,40-50 years,Farmers,27125,0
Young all american family,1,4,30-40 years,Average Family,22092,0
Mixed apartment dwellers,1,2,40-50 years,Living well,11764,0
Large religious families,1,3,40-50 years,Conservative families,20301,0
Religious elderly singles,1,3,30-40 years,Retired and Religious,19191,0
Lower class large families,1,2,30-40 years,Family with grown ups,30241,0
"Young, low educated",1,2,40-50 years,Living well,20696,0
"Young, low educated",1,2,30-40 years,Living well,30510,0
Large religious families,1,2,50-60 years,Conservative families,29845,0
Village families,1,3,40-50 years,Family with grown ups,27801,0
Affluent young families,1,3,40-50 years,Average Family,988282,0
Affluent senior apartments,3,2,50-60 years,Successful hedonists,596723,0
Low income catholics,1,2,40-50 years,Retired and Religious,21059,0
Lower class large families,1,3,40-50 years,Family with grown ups,16689,0
Young all american family,1,3,30-40 years,Average Family,25626,0
Seniors in apartments,2,2,50-60 years,Cruising Seniors,35925,0
Couples with teens 'Married with children',1,2,40-50 years,Family with grown ups,16265,0
Affluent young families,1,3,30-40 years,Average Family,681176,0
Middle class families,1,3,40-50 years,Driven Growers,18892,0
Lower class large families,1,2,40-50 years,Family with grown ups,1718,1
Young all american family,1,3,30-40 years,Average Family,12569,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,48216,0
Lower class large families,1,2,40-50 years,Family with grown ups,10724,0
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,17807,0
Low income catholics,1,2,40-50 years,Retired and Religious,6731,0
Large religious families,2,2,30-40 years,Conservative families,25515,0
Low income catholics,1,2,50-60 years,Retired and Religious,5050,0
Lower class large families,2,4,30-40 years,Family with grown ups,12602,0
Traditional families,1,3,30-40 years,Conservative families,39684,0
Low income catholics,1,2,40-50 years,Retired and Religious,1361,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,11603461,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,31525,0
Young all american family,1,3,30-40 years,Average Family,17164,0
Lower class large families,1,3,40-50 years,Family with grown ups,37608,0
Lower class large families,1,2,40-50 years,Family with grown ups,48914,0
Large religious families,2,2,30-40 years,Conservative families,14365,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,21586,0
Low income catholics,1,2,50-60 years,Retired and Religious,8613,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,48237,0
Village families,1,3,40-50 years,Family with grown ups,34055,0
Lower class large families,1,2,40-50 years,Family with grown ups,42439,0
Lower class large families,1,4,30-40 years,Family with grown ups,39427,0
Etnically diverse,1,2,30-40 years,Living well,35545,0
Middle class families,1,3,40-50 years,Driven Growers,13099,0
Porchless seniors: no front yard,1,2,50-60 years,Retired and Religious,27927,0
Young seniors in the city,1,2,50-60 years,Cruising Seniors,12818,0
High status seniors,1,2,50-60 years,Successful hedonists,22156378,0
"Young, low educated",1,4,30-40 years,Living well,22374,0
Mixed seniors,1,2,50-60 years,Retired and Religious,22203,0
Mixed seniors,1,2,40-50 years,Retired and Religious,40970,0
Low income catholics,1,2,40-50 years,Retired and Religious,23142,0
Traditional families,1,3,40-50 years,Conservative families,47733,0
Low income catholics,1,3,40-50 years,Retired and Religious,25034,0
Career and childcare,1,3,40-50 years,Driven Growers,47068,0
Stable family,1,3,40-50 years,Average Family,18048,0
Young seniors in the city,1,2,60-70 years,Cruising Seniors,41531,0
Stable family,1,3,40-50 years,Average Family,47241,0
Mixed seniors,1,2,40-50 years,Retired and Religious,41156,0
Mixed small town dwellers,1,2,60-70 years,Family with grown ups,15694,0
Middle class families,1,2,40-50 years,Driven Growers,33583,0
Low income catholics,1,3,50-60 years,Retired and Religious,20273,0
"Large family, employed child",1,4,40-50 years,Family with grown ups,30240,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,22362,0
Young seniors in the city,1,2,60-70 years,Cruising Seniors,46196,0
Lower class large families,1,4,30-40 years,Family with grown ups,14499,0
Lower class large families,1,4,30-40 years,Family with grown ups,34410,0
"Young, low educated",1,2,40-50 years,Living well,45369,0
Lower class large families,1,2,40-50 years,Family with grown ups,38009,0
Young and rising,1,2,40-50 years,Living well,26929,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,19664,0
Traditional families,1,4,30-40 years,Conservative families,16931,0
Young and rising,1,2,30-40 years,Living well,47599,0
Traditional families,1,2,30-40 years,Conservative families,18586,0
Mixed seniors,1,2,50-60 years,Successful hedonists,47607,0
Low income catholics,1,4,40-50 years,Retired and Religious,31112,0
"Large family, employed child",2,3,30-40 years,Family with grown ups,24375,0
"Young, low educated",1,2,40-50 years,Living well,24309,0
Mixed seniors,1,3,40-50 years,Retired and Religious,19715,1
Large religious families,1,4,30-40 years,Conservative families,28496,0
Village families,1,2,50-60 years,Family with grown ups,30625,0
Lower class large families,1,4,40-50 years,Family with grown ups,36292,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,45646,0
Middle class families,1,3,40-50 years,Driven Growers,46779,0
"Modern, complete families",1,4,30-40 years,Average Family,12180,0
Lower class large families,1,3,40-50 years,Family with grown ups,39249,0
Lower class large families,1,2,40-50 years,Family with grown ups,43911,1
Lower class large families,1,3,40-50 years,Family with grown ups,10501,0
Young all american family,1,3,40-50 years,Average Family,39902,0
Traditional families,1,3,30-40 years,Conservative families,20244,1
Young and rising,1,3,30-40 years,Living well,20729,0
Lower class large families,1,3,40-50 years,Family with grown ups,25111,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,28099,0
Family starters,2,2,60-70 years,Average Family,36794,0
Family starters,1,4,30-40 years,Average Family,10739,0
Traditional families,1,3,40-50 years,Conservative families,21463,0
Village families,1,3,50-60 years,Family with grown ups,23895,0
Middle class families,1,3,50-60 years,Driven Growers,48982,0
Young and rising,1,2,30-40 years,Living well,27612,0
Family starters,1,2,40-50 years,Average Family,27136,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,23877895,0
High status seniors,1,2,50-60 years,Successful hedonists,41919020,0
Young all american family,1,3,30-40 years,Average Family,36605,0
Young and rising,1,2,30-40 years,Living well,39573,0
Affluent senior apartments,1,2,50-60 years,Successful hedonists,983051,0
Mixed small town dwellers,1,2,30-40 years,Family with grown ups,37303,0
Low income catholics,1,3,40-50 years,Retired and Religious,39610,0
Traditional families,1,3,40-50 years,Conservative families,15571,0
Young and rising,1,2,30-40 years,Living well,37398,0
Young urban have-nots,1,2,50-60 years,Living well,24221,0
Low income catholics,1,2,50-60 years,Retired and Religious,4848,0
Lower class large families,1,1,70-80 years,Family with grown ups,10496,0
Lower class large families,1,3,40-50 years,Family with grown ups,24201,0
Middle class families,1,3,30-40 years,Driven Growers,24473,0
Single youth,10,2,30-40 years,Career Loners,13815,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,48069548,1
Middle class families,1,3,30-40 years,Driven Growers,45462,0
Traditional families,1,4,30-40 years,Conservative families,10552,0
Large religious families,1,2,60-70 years,Conservative families,18685,0
Stable family,1,3,50-60 years,Average Family,41403,0
Middle class families,1,4,40-50 years,Driven Growers,32465,0
Affluent young families,2,4,30-40 years,Average Family,389150,0
Religious elderly singles,1,2,40-50 years,Retired and Religious,43902,0
Mixed seniors,2,2,50-60 years,Retired and Religious,39362,0
Low income catholics,1,3,30-40 years,Retired and Religious,5010,0
"Modern, complete families",1,3,40-50 years,Average Family,39111,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,28687188,0
High status seniors,1,2,40-50 years,Successful hedonists,33296164,1
Large family farms,1,4,40-50 years,Farmers,25638,0
Lower class large families,1,2,30-40 years,Family with grown ups,38430,0
Middle class families,1,3,40-50 years,Driven Growers,41882,0
Middle class families,1,3,40-50 years,Driven Growers,23389,1
Mixed small town dwellers,1,2,60-70 years,Family with grown ups,49901,0
High status seniors,1,2,50-60 years,Successful hedonists,2952150,0
Village families,1,4,50-60 years,Family with grown ups,46119,0
Stable family,1,3,40-50 years,Average Family,47711,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,40067,0
Traditional families,1,2,40-50 years,Conservative families,26131,0
Traditional families,1,4,40-50 years,Conservative families,39912,0
Traditional families,1,2,30-40 years,Conservative families,49965,0
Low income catholics,1,2,50-60 years,Retired and Religious,16671,0
Very Important Provincials,1,3,50-60 years,Successful hedonists,21205,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,36133,0
High status seniors,1,2,40-50 years,Successful hedonists,35507961,0
Traditional families,1,4,40-50 years,Conservative families,39914,0
Lower class large families,1,4,30-40 years,Family with grown ups,11276,0
Couples with teens 'Married with children',1,2,40-50 years,Family with grown ups,11445,0
Large religious families,2,5,40-50 years,Conservative families,48744,0
Large religious families,1,3,40-50 years,Conservative families,17921,0
"Modern, complete families",1,3,40-50 years,Average Family,43002,0
Affluent young families,2,4,30-40 years,Average Family,950408,1
Lower class large families,1,3,40-50 years,Family with grown ups,43200,0
Traditional families,1,3,40-50 years,Conservative families,41539,0
High status seniors,1,2,40-50 years,Successful hedonists,22702727,1
Mixed rurals,1,3,40-50 years,Farmers,37354,0
Couples with teens 'Married with children',1,2,30-40 years,Family with grown ups,24202,0
Seniors in apartments,1,1,60-70 years,Cruising Seniors,25764,0
Middle class families,1,3,30-40 years,Driven Growers,26903,0
Affluent young families,1,3,30-40 years,Average Family,854776,0
Mixed apartment dwellers,1,2,30-40 years,Living well,37803,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,19750172,0
Etnically diverse,1,3,40-50 years,Living well,29946,0
Middle class families,1,3,40-50 years,Driven Growers,25626,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,41312,0
Traditional families,1,3,40-50 years,Conservative families,37068,0
Lower class large families,1,3,40-50 years,Family with grown ups,22735,0
Young and rising,1,2,40-50 years,Living well,46350,0
Traditional families,1,2,30-40 years,Conservative families,13444,0
Porchless seniors: no front yard,1,4,40-50 years,Retired and Religious,13114,0
Traditional families,1,3,40-50 years,Conservative families,34702,0
Fresh masters in the city,1,2,50-60 years,Career Loners,13246,0
Family starters,1,1,30-40 years,Average Family,39072,0
Middle class families,1,3,40-50 years,Driven Growers,33943,1
"Large family, employed child",1,3,30-40 years,Family with grown ups,14950,1
Young and rising,1,3,30-40 years,Living well,41985,0
Family starters,1,3,30-40 years,Average Family,17252,0
"Large family, employed child",1,4,40-50 years,Family with grown ups,31461,0
"Young, low educated",1,2,40-50 years,Living well,40355,0
Career and childcare,1,3,30-40 years,Driven Growers,36372,0
Stable family,1,4,40-50 years,Average Family,41991,0
Young and rising,2,1,20-30 years,Living well,25891,0
Very Important Provincials,1,2,50-60 years,Successful hedonists,45383,0
Middle class families,1,3,30-40 years,Driven Growers,36706,0
Mixed apartment dwellers,1,1,30-40 years,Living well,29105,0
High status seniors,1,2,60-70 years,Successful hedonists,31367905,0
Lower class large families,1,2,40-50 years,Family with grown ups,35358,1
Career and childcare,1,2,50-60 years,Driven Growers,30605,0
Lower class large families,1,3,40-50 years,Family with grown ups,19807,1
Couples with teens 'Married with children',1,2,40-50 years,Family with grown ups,30108,0
Mixed seniors,1,2,50-60 years,Retired and Religious,21409,0
Couples with teens 'Married with children',1,3,50-60 years,Family with grown ups,23359,0
Career and childcare,2,3,40-50 years,Driven Growers,28353,0
Middle class families,1,2,30-40 years,Driven Growers,24131,0
Traditional families,1,4,30-40 years,Conservative families,15501,0
Middle class families,1,2,50-60 years,Driven Growers,21627,0
Large religious families,1,2,50-60 years,Conservative families,43998,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,47846,0
Traditional families,1,4,30-40 years,Conservative families,45895,0
Traditional families,1,2,40-50 years,Conservative families,19601,0
Traditional families,1,3,50-60 years,Conservative families,41653,0
Lower class large families,1,2,50-60 years,Family with grown ups,47573,0
"Modern, complete families",1,3,40-50 years,Average Family,11980,0
Seniors in apartments,2,2,60-70 years,Cruising Seniors,29054,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,47246,0
High status seniors,1,3,40-50 years,Successful hedonists,35508455,0
Mixed seniors,1,3,40-50 years,Retired and Religious,27396,0
Lower class large families,1,3,40-50 years,Family with grown ups,25592,0
Large religious families,1,2,40-50 years,Conservative families,47630,0
Couples with teens 'Married with children',1,3,30-40 years,Family with grown ups,42913,0
Village families,1,2,40-50 years,Family with grown ups,43343,0
Lower class large families,1,3,40-50 years,Family with grown ups,5369,0
Career and childcare,1,3,30-40 years,Driven Growers,28353,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,24838779,0
Mixed seniors,1,3,40-50 years,Retired and Religious,49426,0
Young and rising,2,1,20-30 years,Living well,12772,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,3138073,0
Mixed rurals,1,4,30-40 years,Farmers,15445,0
Low income catholics,1,3,40-50 years,Retired and Religious,15036,0
Large religious families,1,3,40-50 years,Conservative families,34432,0
Stable family,1,3,40-50 years,Average Family,48523,0
Young and rising,1,1,30-40 years,Living well,22474,0
Young and rising,1,2,40-50 years,Living well,22331,0
Stable family,1,3,40-50 years,Average Family,42581,0
Lower class large families,1,3,30-40 years,Family with grown ups,28982,0
"Young, low educated",1,2,50-60 years,Living well,33320,0
Young all american family,1,3,30-40 years,Average Family,38941,0
Lower class large families,1,3,40-50 years,Family with grown ups,1865,0
Career and childcare,2,3,30-40 years,Driven Growers,44959,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,33264,0
Mixed seniors,1,3,40-50 years,Retired and Religious,49490,0
High status seniors,1,1,30-40 years,Successful hedonists,2837730,0
Residential elderly,3,2,50-60 years,Cruising Seniors,45744,0
"Modern, complete families",1,3,40-50 years,Average Family,37545,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,10508,0
Large family farms,1,4,40-50 years,Farmers,49862,0
High status seniors,1,2,40-50 years,Successful hedonists,10464818,0
Lower class large families,1,2,50-60 years,Family with grown ups,38538,0
Couples with teens 'Married with children',1,2,30-40 years,Family with grown ups,21604,0
Village families,1,4,40-50 years,Family with grown ups,41711,0
Large religious families,1,3,40-50 years,Conservative families,14210,0
Family starters,2,4,30-40 years,Average Family,47951,1
Couples with teens 'Married with children',1,2,30-40 years,Family with grown ups,33201,0
Mixed seniors,1,3,40-50 years,Retired and Religious,26653,0
Middle class families,1,2,50-60 years,Driven Growers,32137,0
Family starters,1,2,40-50 years,Average Family,19892,0
Career and childcare,1,3,40-50 years,Driven Growers,30396,0
Lower class large families,1,2,40-50 years,Family with grown ups,17054,0
Young seniors in the city,1,2,50-60 years,Cruising Seniors,17172,0
Traditional families,1,3,40-50 years,Conservative families,33729,0
Traditional families,1,4,30-40 years,Conservative families,11849,0
"Large family, employed child",1,2,40-50 years,Family with grown ups,26087,0
Couples with teens 'Married with children',1,3,50-60 years,Family with grown ups,14172,0
Religious elderly singles,1,3,50-60 years,Retired and Religious,22437,0
Porchless seniors: no front yard,1,3,50-60 years,Retired and Religious,15426,1
Young and rising,1,1,30-40 years,Living well,45388,0
Mixed seniors,1,2,40-50 years,Successful hedonists,46529,0
Low income catholics,1,2,40-50 years,Retired and Religious,31379,0
Young all american family,1,2,30-40 years,Average Family,27996,0
Large religious families,2,3,40-50 years,Conservative families,45495,1
Lower class large families,1,2,40-50 years,Family with grown ups,8952,0
Family starters,1,3,40-50 years,Average Family,35657,0
Lower class large families,1,3,40-50 years,Family with grown ups,35665,0
High status seniors,1,5,40-50 years,Successful hedonists,43181830,0
